color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,adj_gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,adj_budg,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,colordum
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,76372180.33,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,PG-13,263700000,275659842.6,2012,632,6.6,2.35,24000,1
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,221021886.7,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,USA,PG,260000000,286173368.3,2010,553,7.8,1.85,29000,1
Color,Gore Verbinski,313,151,563,1000,Orlando Bloom,40000,423032628,503624960.1,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2,box office hit|giant squid|heart|liar's dice|monster,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English,USA,PG-13,225000000,267864955.4,2006,5000,7.3,2.35,5000,1
Color,Gore Verbinski,450,150,563,1000,Ruth Wilson,40000,89289910,91992099.1,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,USA,PG-13,215000000,221506565.6,2013,2000,6.5,2.35,48000,1
Color,Andrew Adamson,258,150,80,201,Pierfrancesco Favino,22000,141614023,157862904,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4,brother brother relationship|brother sister relationship|good versus evil|king|narnia,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English,USA,PG,225000000,250816639.8,2008,216,6.6,2.35,0,1
Color,Rob Marshall,448,136,252,1000,Sam Claflin,40000,241063875,257212032.8,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,USA,PG-13,250000000,266746762.5,2011,11000,6.7,2.35,58000,1
Color,Barry Sonnenfeld,451,106,188,718,Michael Stuhlbarg,10000,179020854,187140160.9,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,USA,PG-13,225000000,235204643.8,2012,816,6.8,1.85,40000,1
Color,Chris Weitz,251,113,129,1000,Eva Green,16000,70083519,81141028.19,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2,children|epic|friend|girl|quest,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,USA,PG-13,180000000,208399710.6,2007,6000,6.1,2.35,0,1
Color,Shane Black,608,195,1000,3000,Jon Favreau,21000,408992272,421369644.3,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,206052619.2,2013,4000,7.2,2.35,95000,1
Color,Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,124403424.9,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,213397410,2011,368,5.6,2.35,24000,1
Color,Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,456759658.9,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3,college|day care|escape|teddy bear|toy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,G,200000000,220133360.2,2010,1000,8.3,1.85,30000,1
Color,Mike Newell,306,116,179,236,Richard Coyle,15000,90755643,99891723.27,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2,alamut|dagger|king|persia|princess,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,PG-13,200000000,220133360.2,2010,567,6.6,2.35,23000,1
Color,Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,353385166.2,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,206227015,2008,1000,6.2,2.35,5000,1
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,130468626,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,185000000,2016,119,7.5,2.35,30000,1
Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,162182270,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2,ambassador|assassination|chinese|french|triad,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,162088663.8,2007,268,6.2,2.35,0,1
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,180000000,2016,10000,6.6,2.35,29000,1
Color,Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,358486455.6,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5,hide and seek|lion|magic|professor|snow,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,USA,PG,180000000,221204608.3,2005,190,6.9,2.35,0,1
Color,Rob Letterman,219,94,11,459,Rainn Wilson,1000,198332128,221878273,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2,alien|alien invasion|alien space craft|giant|giantess,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English,USA,PG,175000000,195776136.5,2009,973,6.5,2.35,0,1
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,354819910.9,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,140000000,156063687,2008,12000,7.9,2.35,10000,1
Color,Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,163863710.3,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2,buddy movie|general|inventor|steampunk|utah,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,PG-13,170000000,244905102,1999,4000,4.8,1.85,0,1
Color,Rob Cohen,264,112,357,595,Brendan Fraser,5000,102176165,113899921.7,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2,army|china|emperor|mummy|shangri la,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English,USA,PG-13,145000000,161637390.1,2008,3000,5.2,2.35,0,1
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,175000000,2016,336,6.9,2.35,80000,1
Color,Doug Liman,585,113,218,509,Lara Pulver,10000,100189501,101573827.2,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1,alien|combat|dying repeatedly|end of the world|time loop,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,PG-13,178000000,180459440.1,2014,854,7.9,2.35,77000,1
Color,Stephen Sommers,250,118,208,570,Dennis Quaid,23000,150167630,167995648.2,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4,cobra|gi joe|snake|train|warhead,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,PG-13,175000000,195776136.5,2009,2000,5.8,2.35,0,1
Color,Jon Favreau,453,124,4000,4000,Scarlett Johansson,21000,312057433,343471256.6,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,PG-13,200000000,220133360.2,2010,19000,7,2.35,18000,1
Color,Robert Stromberg,401,97,171,846,Sharlto Copley,11000,241407328,244742872.1,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2,curse|dark fantasy|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,PG,180000000,182487074.2,2014,2000,7,2.35,89000,1
Color,Carl Rinsch,218,128,47,982,Cary-Hiroyuki Tagawa,18000,38297305,39456300.01,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English,USA,PG-13,175000000,180296041.8,2013,1000,6.3,2.35,35000,1
Color,Anthony Russo,576,136,94,2000,Chris Evans,19000,259746958,263335902.2,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1,conspiracy|heroism|megalomaniac|super soldier|world domination,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,English,USA,PG-13,170000000,172348903.4,2014,11000,7.8,2.35,55000,1
Color,Mike Mitchell,226,93,31,213,Kathy Griffin,4000,238371987,262368132.4,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,138661,4628,Mary Kay Place,2,alternate world|fairy tale parody|female warrior|ogre|true love,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,English,USA,PG,165000000,181610022.2,2010,225,6.4,2.35,0,1
Color,Brad Bird,443,130,663,604,Chris Bauer,2000,93417865,94596343.41,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,128306,5046,Thomas Robinson,2,boy genius|futuristic city|inventor|teenage girl|time travel,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,English,USA,PG,190000000,192396874.5,2015,638,6.5,2.2,37000,1
Color,Rich Moore,377,101,66,833,Sarah Silverman,975,189412677,198003294.4,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1,arcade|candy|glitch|king|medal,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,English,USA,PG,165000000,172483405.5,2012,931,7.8,2.35,40000,1
Color,James Gunn,653,121,571,3000,Vin Diesel,14000,333130696,337733589.1,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,682155,32438,Djimon Hounsou,3,bounty hunter|outer space|raccoon|talking animal|tree,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,English,USA,PG-13,170000000,172348903.4,2014,14000,8.1,2.35,96000,1
